,wine brand name,wine name,year,region,type,winery,price,rating,no. ratings
0,Colombard - Ugni Blanc,Colombard - Ugni Blanc 2022,2022,Côtes de Gascogne,0,Château de Millet,4.49,3.6,747
1,Côtes De Gascogne Classic,Côtes De Gascogne Classic 2018,2018,Côtes de Gascogne,0,Domaine du Tariquet,4.77,3.5,11942
2,Bordeaux Blanc,Bordeaux Blanc 2021,2021,Bordeaux,0,Château Greteau Medeville,5.0,3.6,41
3,Malicieuse Grenache Blanc,Malicieuse Grenache Blanc 2022,2022,Côtes Catalanes,0,Les Vignerons des Albères,5.05,3.8,90
4,Muscat Sec,Muscat Sec 2022,2022,Côtes Catalanes,0,Les Vignerons des Albères,5.05,3.6,68
5,To Bi Or Not To Bi Macabeu - Grenache,To Bi Or Not To Bi Macabeu - Grenache 2022,2022,Côtes Catalanes,0,Arnaud de Villeneuve,5.2,3.3,34
6,Les Bastions Blanc,Les Bastions Blanc 2019,2019,Saint-Mont,0,Plaimont,5.4,3.6,58
7,Bordeaux Blanc,Bordeaux Blanc 2017,2017,Bordeaux,0,Château Roquefort,5.4,3.6,558
8,Bordeaux Blanc,Bordeaux Blanc 2022,2022,Bordeaux,0,Château Greteau Medeville,5.5,3.6,41
9,Bordeaux Blanc,Bordeaux Blanc 2021,2021,Bordeaux,0,Château Boisson,5.5,3.8,187
10,Le Petit Balthazar Viognier - Sauvignon Blanc,Le Petit Balthazar Viognier - Sauvignon Blanc 2022,2022,Pays d'Oc,0,Pierrick Harang,5.5,3.6,857
11,4 Saisons Chardonnay,4 Saisons Chardonnay 2022,2022,Côtes Catalanes,0,Vignerons Catalans,5.6,3.7,230
12,Chardonnay,Chardonnay 2022,2022,Côtes Catalanes,0,Les Vignerons des Albères,5.6,3.6,109
13,Bordeaux Blanc,Bordeaux Blanc 2019,2019,Bordeaux,0,Château Saint-Florin,5.7,3.4,391
14,Graves Blanc,Graves Blanc 2016,2016,Graves,0,Château Bousquet,5.76,3.4,52
15,Amountanage Blanc,Amountanage Blanc 2018,2018,Luberon,0,Marrenon,5.85,3.6,265
16,Chardonnay,Chardonnay 2019,2019,Mendoza,0,Los Medanos,5.88,3.3,191
17,Blanc Fruité,Blanc Fruité 2021,2021,Zuidwest-Frankrijk,0,Demon Noir,5.9,3.7,221
18,Prémices Muscat Sec,Prémices Muscat Sec 2022,2022,Côtes Catalanes,0,Deprade Jorda,5.9,3.8,32
19,Prémices Chardonnay,Prémices Chardonnay 2022,2022,Côtes Catalanes,0,Deprade Jorda,5.9,3.4,38
20,Esprit de Sérame Chardonnay,Esprit de Sérame Chardonnay 2015,2015,Pays d'Oc,0,Chateau de Sérame,5.94,3.3,192
21,Varietal Range Chardonnay,Varietal Range Chardonnay 2010,2010,Zuidoost-Australië,0,Hardys,5.95,3.2,2605
22,No. 3 Colombard - Sauvignon,No. 3 Colombard - Sauvignon 2022,2022,Côtes de Gascogne,0,Uby,5.95,4.0,11200
23,Entre-deux-Mers,Entre-deux-Mers 2021,2021,Entre-deux-Mers,0,Château Gabelot,6.0,3.8,93
24,Le Petit Balthazar Viognier - Sauvignon Blanc,Le Petit Balthazar Viognier - Sauvignon Blanc 2020,2020,Pays d'Oc,0,Pierrick Harang,6.0,3.6,857
25,Colombard - Ugni Blanc,Colombard - Ugni Blanc 2022,2022,Côtes de Gascogne,0,Château de Millet,4.49,3.6,747
26,Côtes De Gascogne Classic,Côtes De Gascogne Classic 2018,2018,Côtes de Gascogne,0,Domaine du Tariquet,4.77,3.5,11942
27,Bordeaux Blanc,Bordeaux Blanc 2021,2021,Bordeaux,0,Château Greteau Medeville,5.0,3.6,41
28,Malicieuse Grenache Blanc,Malicieuse Grenache Blanc 2022,2022,Côtes Catalanes,0,Les Vignerons des Albères,5.05,3.8,90
29,Muscat Sec,Muscat Sec 2022,2022,Côtes Catalanes,0,Les Vignerons des Albères,5.05,3.6,68
30,To Bi Or Not To Bi Macabeu - Grenache,To Bi Or Not To Bi Macabeu - Grenache 2022,2022,Côtes Catalanes,0,Arnaud de Villeneuve,5.2,3.3,34
31,Les Bastions Blanc,Les Bastions Blanc 2019,2019,Saint-Mont,0,Plaimont,5.4,3.6,58
32,Bordeaux Blanc,Bordeaux Blanc 2017,2017,Bordeaux,0,Château Roquefort,5.4,3.6,558
33,Bordeaux Blanc,Bordeaux Blanc 2022,2022,Bordeaux,0,Château Greteau Medeville,5.5,3.6,41
